round,seed,condition,algorithm,selection_mode,selection_budget,agent_id,selection_score,selected_for_aggregation
10,41,standard,fedadagrad,error_low,4,5,0.6440871255461128,0
10,41,standard,fedadagrad,error_low,4,6,0.6254922275995484,1
10,41,standard,fedadagrad,error_low,4,7,0.5081801609984178,1
11,41,standard,fedadagrad,error_low,4,0,1.4832384360456328,0
11,41,standard,fedadagrad,error_low,4,1,0.1797732053389371,1
11,41,standard,fedadagrad,error_low,4,2,0.7021046243208021,0
11,41,standard,fedadagrad,error_low,4,3,3.635470885371989,0
11,41,standard,fedadagrad,error_low,4,4,0.6349493231185442,0
11,41,standard,fedadagrad,error_low,4,5,0.1465527323776596,1
11,41,standard,fedadagrad,error_low,4,6,0.5003658222187916,1
11,41,standard,fedadagrad,error_low,4,7,0.2589644534269655,1
12,41,standard,fedadagrad,error_low,4,0,2.348710658424627,0
12,41,standard,fedadagrad,error_low,4,1,0.5237039212849929,1
12,41,standard,fedadagrad,error_low,4,2,1.7464172435038614,0
12,41,standard,fedadagrad,error_low,4,3,1.213830607907481,0
12,41,standard,fedadagrad,error_low,4,4,0.5303718452501873,1
12,41,standard,fedadagrad,error_low,4,5,1.6060823083533189,0
12,41,standard,fedadagrad,error_low,4,6,0.4535273972442613,1
12,41,standard,fedadagrad,error_low,4,7,0.71273930121798,1
13,41,standard,fedadagrad,error_low,4,0,0.9504242483399206,0
13,41,standard,fedadagrad,error_low,4,1,0.9984348740196004,0
13,41,standard,fedadagrad,error_low,4,2,0.3136084856436534,1
13,41,standard,fedadagrad,error_low,4,3,0.4797161484696669,0
13,41,standard,fedadagrad,error_low,4,4,0.3634870101909401,1
13,41,standard,fedadagrad,error_low,4,5,0.2402785578784426,1
13,41,standard,fedadagrad,error_low,4,6,0.5541759218774319,0
13,41,standard,fedadagrad,error_low,4,7,0.2763795859519766,1
14,41,standard,fedadagrad,error_low,4,0,1.0070619215449994,0
14,41,standard,fedadagrad,error_low,4,1,0.2097943133883914,1
14,41,standard,fedadagrad,error_low,4,2,0.4531972712149207,0
14,41,standard,fedadagrad,error_low,4,3,1.3616794071177978,0
14,41,standard,fedadagrad,error_low,4,4,0.3782393877466922,1
14,41,standard,fedadagrad,error_low,4,5,0.5725183201472682,0
14,41,standard,fedadagrad,error_low,4,6,0.4494282165562921,1
14,41,standard,fedadagrad,error_low,4,7,0.2316380717127511,1
15,41,standard,fedadagrad,error_low,4,0,1.5785492563243595,0
15,41,standard,fedadagrad,error_low,4,1,0.887760229456614,0
15,41,standard,fedadagrad,error_low,4,2,0.3084396494326574,1
15,41,standard,fedadagrad,error_low,4,3,0.5386047064523565,0
15,41,standard,fedadagrad,error_low,4,4,0.5990288856590568,0
15,41,standard,fedadagrad,error_low,4,5,0.2528626448516175,1
15,41,standard,fedadagrad,error_low,4,6,0.3932064605724903,1
15,41,standard,fedadagrad,error_low,4,7,0.1751103154661903,1
16,41,standard,fedadagrad,error_low,4,0,1.3592376884030593,0
16,41,standard,fedadagrad,error_low,4,1,0.2386845477471279,1
16,41,standard,fedadagrad,error_low,4,2,0.4181652409285063,1
16,41,standard,fedadagrad,error_low,4,3,0.7067359928353197,0
16,41,standard,fedadagrad,error_low,4,4,0.4978272352659366,0
16,41,standard,fedadagrad,error_low,4,5,0.2727479126832902,1
16,41,standard,fedadagrad,error_low,4,6,0.4197297637180069,0
16,41,standard,fedadagrad,error_low,4,7,0.1860293380128865,1
17,41,standard,fedadagrad,error_low,4,0,1.6847128878159854,0
17,41,standard,fedadagrad,error_low,4,1,0.1498704740722238,1
17,41,standard,fedadagrad,error_low,4,2,0.4486961126531656,0
17,41,standard,fedadagrad,error_low,4,3,0.7898367585720834,0
17,41,standard,fedadagrad,error_low,4,4,0.4119645722311178,1
17,41,standard,fedadagrad,error_low,4,5,0.2479326528897011,1
17,41,standard,fedadagrad,error_low,4,6,0.5096364786065236,0
17,41,standard,fedadagrad,error_low,4,7,0.1844876573448013,1
18,41,standard,fedadagrad,error_low,4,0,0.87453238925554,0
