round,seed,condition,algorithm,selection_mode,selection_budget,candidate_agent_ids,selected_agent_ids
62,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
63,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
64,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
65,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;2;4;5
66,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
67,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
68,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
69,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
70,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
71,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
72,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
73,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
74,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
75,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
76,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
77,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
78,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;6
79,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
80,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
81,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;6;7
82,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
83,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
84,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
85,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
86,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
87,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
88,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
89,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
90,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
91,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
92,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
93,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
94,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
95,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
96,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
97,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
98,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
99,41,standard,fedadagrad,error_low,4,0;1;2;3;4;5;6;7,1;4;5;7
