episode,path_id,avg_lateral_error,max_lateral_error,total_reward,avg_reward
0,0,54.940876618369714,138.08582622493634,-10973.559196717184,-54.86779598358592
0,1,76.99524390071207,163.44098899912413,-15387.15982853204,-76.9357991426602
0,2,41.83350942389088,85.67179169224977,-8354.83726254681,-41.774186312734045
0,3,58.1455944900252,114.01153434293089,-11619.210017062982,-58.09605008531491
0,4,28.342069976461083,73.17569517611065,-5654.700147567925,-28.273500737839623
0,5,24.88624046580945,53.56428153666185,-4968.107084199376,-24.84053542099688
0,6,19.036861653475228,60.14478056813617,-3795.571128144828,-18.977855640724137
0,7,51.94589013150322,89.82675266316393,-10377.611199282046,-51.88805599641023
1,0,8.892321171972942,26.741984142258516,-1765.8340777037106,-8.829170388518554
1,1,11.540605720600896,23.74390993577804,-2297.806919997437,-11.489034599987187
1,2,15.90170711344382,47.433831701613606,-3169.847986893093,-15.849239934465468
1,3,7.524812885744758,20.710185368526265,-1494.2224402244046,-7.471112201122023
1,4,60.45078235311491,129.73879131488178,-12075.67822418392,-60.3783911209196
1,5,25.11091701688074,69.61710333240417,-5011.561846739042,-25.05780923369521
1,6,27.36192716416364,54.5880287861332,-5461.423478903056,-27.30711739451528
1,7,16.028940953289304,38.58211496676629,-3194.4416983907017,-15.97220849195351
2,0,60.37014407286706,119.55330875063164,-12061.125124025244,-60.30562562012622
2,1,9.114766395066898,25.989729633644547,-1812.793469163205,-9.063967345816025
2,2,47.03502146984521,99.37635656279927,-9395.96776737438,-46.97983883687189
2,3,33.04079810502744,57.874510779119845,-6596.767945485733,-32.983839727428666
2,4,59.2819912968554,104.45510378889703,-11842.438891757693,-59.21219445878846
2,5,41.28265966354096,113.29783344300886,-8246.49647551954,-41.2324823775977
2,6,55.434467943103066,100.81326894061216,-11074.897408869185,-55.374487044345926
2,7,39.82001862585712,80.42079055043654,-7952.900815318228,-39.764504076591145
3,0,48.38164821575717,98.83298028242368,-9663.232011984928,-48.31616005992464
3,1,20.21276811326036,46.96351648375048,-4032.6726883235674,-20.163363441617832
3,2,51.39107614484754,130.79525784038708,-10265.689784073653,-51.32844892036827
3,3,44.63299865760116,129.10503465941576,-8915.445592471908,-44.57722796235954
3,4,41.72738938700736,84.0453779771016,-8332.383301841242,-41.661916509206215
3,5,29.34481200383722,69.62161052355846,-5858.377957309149,-29.291889786545745
3,6,49.88679993031737,91.36694172087292,-9964.852987398805,-49.82426493699401
3,7,24.65978525669536,50.8665607766753,-4921.143860077825,-24.60571930038912
4,0,42.32691734844245,99.1644738216096,-8451.548258937368,-42.25774129468684
4,1,22.29657929157949,45.2160879845914,-4448.873487084013,-22.244367435420063
4,2,41.0925038681746,70.05842926665552,-8207.265271587577,-41.03632635793789
4,3,45.01868840034415,83.53087500931578,-8993.89611864836,-44.9694805932418
4,4,61.22122173395536,115.4278045485047,-12232.318131032738,-61.16159065516369
4,5,25.07368143037445,51.90472734738771,-5005.040462705802,-25.02520231352901
