episode,path_id,avg_lateral_error,max_lateral_error,total_reward,avg_reward
0,0,54.940876618369714,138.08582622493634,-10973.559196717184,-54.86779598358592
0,1,76.99524390071207,163.44098899912413,-15387.15982853204,-76.9357991426602
0,2,41.83350942389088,85.67179169224977,-8354.83726254681,-41.774186312734045
0,3,58.1455944900252,114.01153434293089,-11619.210017062982,-58.09605008531491
1,0,8.892321171972942,26.741984142258516,-1765.8340777037106,-8.829170388518554
1,1,11.540605720600896,23.74390993577804,-2297.806919997437,-11.489034599987187
1,2,15.90170711344382,47.433831701613606,-3169.847986893093,-15.849239934465468
1,3,7.524812885744758,20.710185368526265,-1494.2224402244046,-7.471112201122023
2,0,60.37014407286706,119.55330875063164,-12061.125124025244,-60.30562562012622
2,1,9.114766395066898,25.989729633644547,-1812.793469163205,-9.063967345816025
2,2,47.03502146984521,99.37635656279927,-9395.96776737438,-46.97983883687189
2,3,33.04079810502744,57.874510779119845,-6596.767945485733,-32.983839727428666
3,0,48.38164821575717,98.83298028242368,-9663.232011984928,-48.31616005992464
3,1,20.21276811326036,46.96351648375048,-4032.6726883235674,-20.163363441617832
3,2,51.39107614484754,130.79525784038708,-10265.689784073653,-51.32844892036827
3,3,44.63299865760116,129.10503465941576,-8915.445592471908,-44.57722796235954
4,0,42.32691734844245,99.1644738216096,-8451.548258937368,-42.25774129468684
4,1,22.29657929157949,45.2160879845914,-4448.873487084013,-22.244367435420063
4,2,41.0925038681746,70.05842926665552,-8207.265271587577,-41.03632635793789
4,3,45.01868840034415,83.53087500931578,-8993.89611864836,-44.9694805932418
5,0,106.44767095103096,193.0164649934008,-21276.034352765146,-106.38017176382571
5,1,17.186928110732723,61.281530217483066,-3426.825808744951,-17.134129043724755
5,2,12.603459926842566,27.526331565268283,-2509.5308269570646,-12.547654134785324
5,3,11.04939923790228,36.43258197946364,-2199.069107305946,-10.995345536529731
6,0,53.82304665470358,96.8680105223434,-10752.624849187972,-53.76312424593986
6,1,16.09976530979302,60.05082184831262,-3209.0610502586533,-16.045305251293268
6,2,33.009597782620375,93.23612085325531,-6590.436820952158,-32.95218410476079
6,3,11.231968803584328,34.53689828231933,-2235.756438458509,-11.178782192292545
7,0,16.210057491187875,59.90132752890776,-3229.743602342123,-16.148718011710613
7,1,47.20586374638775,121.42922344385092,-9430.489986160634,-47.152449930803165
7,2,35.31180569739615,66.92746617331906,-7051.508043207486,-35.25754021603743
7,3,27.266078352715745,65.98866082355579,-5443.648674196978,-27.218243370984894
8,0,43.16667500174971,86.19135994943542,-8621.268862374965,-43.10634431187483
8,1,35.90904636484437,90.38081525643078,-7172.5485035569,-35.8627425177845
8,2,27.263868111680846,51.66130241640752,-5442.375867738945,-27.211879338694725
8,3,22.93130188882241,69.82569435430409,-4575.485008706838,-22.87742504353419
9,0,63.1072772871792,155.81808671267436,-12609.070864264851,-63.045354321324254
9,1,6.583896329652978,16.71220246210308,-1307.128485868007,-6.535642429340035
